id,category_name,image_url
96,hug,https://media.tenor.com/3cqfW1ipJi8AAAAC/chase-you-down-for-snuggles-i-cuddles-you.gif
97,hug,https://media.tenor.com/OC8aKjtYk1QAAAAM/cuddle-i-want-to-cuddle-you.gif
98,hug,https://media.tenor.com/KnMKES971UQAAAAC/love-you.gif
99,hug,https://media.tenor.com/uj50AqO_ZN8AAAAC/gummy-squish.gif
100,hug,https://media.tenor.com/EGHawmNW-L4AAAAC/anime-hug.gif
101,hug,https://media.tenor.com/WoTDOKyEMn4AAAAC/sunday-milk-and-mocha.gif
102,hug,https://media.tenor.com/_1D5UbpoRn0AAAAC/hug-consolation.gif
103,squish,https://media.tenor.com/uj50AqO_ZN8AAAAC/gummy-squish.gif
104,squish,https://media.tenor.com/Nt7OTrGyYXkAAAAC/womp-whump.gif
105,favs,https://media.tenor.com/WoTDOKyEMn4AAAAC/sunday-milk-and-mocha.gif
106,favs,https://media.tenor.com/glwwwW6GXjIAAAAM/kiss-tackle.gif
107,favs,https://media.tenor.com/EGHawmNW-L4AAAAC/anime-hug.gif
108,favs,https://media.tenor.com/uj50AqO_ZN8AAAAC/gummy-squish.gif
109,rhea,https://media.tenor.com/0yfby3ZbED0AAAAd/rhea-ripley-wwe.gif
110,rhea,https://media.discordapp.net/attachments/1017431996894556181/1039241545896972351/Tumblr_l_2657205030846407.gif
111,rhea,https://64.media.tumblr.com/c8bd64b7bc7b1f6fa82e4328704623d3/204cd08ac5f762dc-0d/s540x810/0ff660a4fbac7c8106d1b27cec41e77a3abb37da.gif
112,rhea,https://media.tenor.com/QVxuB9T8ad8AAAAd/rhea-ripley-rhea.gif
113,rhea,https://media.tenor.com/LkvIU4M4DSQAAAAC/rhea-ripley-demi-bennett.gif
114,rhea,https://media.tenor.com/lBrkpdlccjYAAAAC/rhea-ripley-rhea-hpw.gif
115,rhea,https://media.tenor.com/czkXY6hiSxoAAAAd/rhea-ripley.gif
116,rhea,https://media.tenor.com/anIs9lmpobAAAAAd/rhea-ripley-smile.gif
117,rhea,https://media.tenor.com/wX33esfDxJwAAAAC/rhea-ripley-ripley.gif
118,kill,https://media.tenor.com/h9twmsQztwIAAAAi/mitao-cat-mochi-mochi-cat.gif
119,kill,https://media.tenor.com/WOpPM1NdBE4AAAAi/agung.gif
120,kill,https://media.tenor.com/AGTqt-wXyiEAAAAC/nichijou-minigun.gif
121,dodie,https://media.tenor.com/VquYiLBglMYAAAAC/dodie-clark-idk.gif
122,dodie,https://media.tenor.com/0AZ-BGNd73MAAAAC/dodie-dailydodie.gif
123,dodie,https://media.tenor.com/oTTMzTx6YN8AAAAC/guitar-dodie.gif
124,dodie,https://media.tenor.com/kyrTx9BA-nkAAAAC/dodie-clark.gif
125,dodie,https://media.tenor.com/3LITs4yrz8gAAAAC/doddleoddle-dodie.gif
126,kick,https://media.tenor.com/w3_5V8KfRO4AAAAC/kick-anime.gif
127,slap,https://media.tenor.com/1-1M4PZpYcMAAAAd/tsuki-tsuki-ga.gif
128,broke,https://media.tenor.com/dKI2anCK0TMAAAAC/fuck-this-shit-im-out.gif
129,broke,https://media.tenor.com/wslExIfx9rwAAAAC/its-fucked-can-we-fix-it.gif
130,slap,https://media.tenor.com/bW9sL6u6V7AAAAAC/fly-away-slap.gif
131,gay,https://media.tenor.com/D0dfcMsIQQMAAAAC/rainbow-puke.gif
132,nohorny,https://media.tenor.com/RY8uzqWUTz4AAAAd/anime-nichijou.gif
133,nom,https://media.tenor.com/3Nn7tgMWmbAAAAAC/anime-bite.gif
134,kick,https://media.tenor.com/ZKbUbSy5rCUAAAAd/anime-fight.gif
135,wave,https://media.tenor.com/Q5xwRQjMg8EAAAAi/%E5%93%88%E5%9B%89-hello.gif
136,wave.https://media.tenor.com/-feGZV_CsiAAAAAi/hi-good.gif
137,wave,https://media.tenor.com/mhLPO2VldCkAAAAC/0001.gif
138,headbutt,https://media.tenor.com/Ua1CL3or5-UAAAAC/headbutt-chill.gif
139,headbutt,https://media.tenor.com/DuUt4nmtD_cAAAAC/headbutt.gif
140,headbutt,https://media.tenor.com/mXKwNIelK5sAAAAC/aharen-san-anime-headbutt.gif
141,nohorny,https://media.tenor.com/qNRxOkksDHwAAAAi/tkthao219-bubududu.gif
142,headbutt,https://media0.giphy.com/media/69va5DpQyayrrVBEoe/giphy.gif?cid=ecf05e474mkuvxjampjp4up564tcn8u0xanlkhgep8g6dvl7&rid=giphy.gif
143,sleep,https://media.tenor.com/Uamw5ymsu24AAAAS/sleep-time.gif
144,boop,https://cdn.weeb.sh/images/B14SJlTQG.gif
145,boop,https://cdn.weeb.sh/images/rkB8eJYPZ.gif
146,boop,https://cdn.weeb.sh/images/HkxwlkKPb.gif
147,hug,https://cdn.discordapp.com/attachments/1042563646309552199/1051864062985785465/BkHA_O7v-.gif
148,tackle,https://cdn.discordapp.com/attachments/1042563646309552199/1051864062985785465/BkHA_O7v-.gif
149,google,https://media.tenor.com/LQIE2WlkNQAAAAAC/aj-holmes-google.gif
